     0,00000    9;    9;   10;   13;    8;    9;    7;   27; 2123;  109;   27;   30;   19;   36;   15;   21;   14;   21;   19;    5;  269;   92;   18;   25;    9;   11;    2;    2;    5;    3;    1;   24;   20;   87;   11;   11;    2;    0;    8;    4;    4;    3;    1;    5;   55;    7;    4;    3;    1;    0;   14;    2;    1;    1;    0;    0;   23;    0;    0;    0;    0;    0;    5;    1;    1;    1;    0;    0;   16;    1;    1;    0;    0;    1;    7;    1;    2;    1;    0;    1;    6;    5;    3;    1;    1;    1;    5;    0;    0;    1;    0;    1;    0;    4;    1;    0;    0;    0;    0;    1;    0;    0;    0;    0;    0;    1;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0
     0,00256    6;    6;    7;   12;    5;    6;    1;   60; 2168;   33;   25;   15;   16;   19;   20;   18;   10;    7;    1;   41;  191;   39;   25;   22;   17;    4;   32;   20;   25;   22;   31;   19;  131;    0;    3;    6;    5;   25;   13;    4;    5;    5;    9;   28;    8;    2;    0;    0;    0;    6;   10;    0;    0;    0;    1;    5;    8;    1;    0;    0;    0;    4;   14;    0;    0;    0;    0;    0;    4;    2;    0;    0;    0;    0;   14;    1;    0;    0;    0;    1;    1;    1;    1;    1;    1;    1;   12;    0;    1;    0;    1;    0;    0;    0;    0;    0;    0;    0;    1;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    2;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    1;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    1;    0;    0;    1;    0;    0;    0;    0;    0;    0;    0;    0;    1
     0,00512    1;    1;    0;    5;    0;    1;   13;   33; 2272;   27;    3;    7;    1;    4;   11;   16;    4;   17;   10;    1;  311;   22;    8;   12;    4;    6;    5;    8;    4;    6;    9;   63;   41;   11;    0;    4;    0;   10;    8;    3;    1;    3;    2;   10;   41;    5;    0;    1;    0;    0;   10;    1;    1;    0;    2;    2;   19;    0;    0;    0;    0;    1;    6;    0;    0;    0;    0;    0;   11;    1;    1;    0;    1;    1;    5;    0;    0;    0;    0;    0;    3;    0;    0;    0;    0;    0;    3;    2;    0;    0;    0;    1;    1;    1;    0;    0;    0;    0;    1;    1;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0
     0,00768    1;    1;    0;    0;    1;    3;   14;   37; 2461;    7;    3;    0;    4;    2;   69;    1;    2;    5;   11;   20;  293;    6;    3;    0;    1;    4;    0;    0;    1;    2;    5;   60;   43;    6;    3;    1;    5;   15;    6;    0;    2;    2;    2;   18;   33;    1;    1;    0;    1;    1;    2;    0;    0;    0;    0;    1;   30;    1;    1;    0;    2;    1;    3;    0;    1;    0;    0;    0;   12;    0;    0;    0;    0;    0;    1;    0;    0;    0;    0;    0;    7;    0;    0;    0;    0;    0;    2;    0;    0;    0;    0;    0;    2;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0
     0,01024    0;    0;    0;    0;    0;    1;    9;    4; 2459;    7;    5;    1;    7;   35;   64;    0;    2;    5;   12;   45;  284;    4;    2;    0;    2;    5;    0;    0;    1;    1;    4;    0;  101;    5;    4;    1;    9;   20;    4;    0;    2;    1;    3;   17;   25;    3;    0;    0;    1;    2;    2;    0;    0;    0;    0;    2;   20;    1;    0;    0;    1;    2;   10;    0;    0;    0;    0;    0;   14;    0;    0;    0;    0;    0;    4;    0;    0;    0;    0;    0;    6;    0;    0;    0;    0;    0;    3;    0;    0;    0;    0;    0;    2;    0;    0;    0;    0;    0;    1;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0
     0,01280    0;    0;    4;    0;    6;    2;   11;    5; 2418;   11;   17;    3;   18;   18;   75;    0;   19;    6;   39;   29;  270;    9;    1;    0;    3;    3;    2;    0;    9;    0;   12;   41;   31;   12;    3;    4;    8;   18;    5;    1;    7;    1;    5;    6;   25;    7;    0;    2;    2;    5;    0;    3;    2;    1;    1;    0;   20;    4;    1;    2;    3;    4;    4;    2;    2;    1;    0;    1;    8;    1;    0;    2;    0;    2;    1;    1;    0;    0;    0;    1;    5;    0;    0;    0;    0;    1;    3;    0;    1;    0;    0;    0;    1;    0;    0;    0;    0;    0;    0;    0;    1;    0;    0;    0;    0;    0;    0;    1;    0;    0;    0;    0;    0;    0;    0;    0;    0;    1;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0
     0,01536    9;    9;    3;    4;    2;    4;    4;   49; 2172;   35;   18;   20;   20;   54;   65;    5;    4;    8;    9;   47;  194;   85;   13;    8;   10;   10;    9;   10;    3;    2;    2;   31;    3;   80;   11;    8;    5;    6;   21;    8;    3;    3;    3;    9;   52;    7;    3;    3;    0;    0;    5;    2;    0;    0;    0;    1;   23;    0;    0;    0;    0;    0;    6;    0;    0;    0;    0;    0;   19;    0;    0;    0;    0;    1;    3;    0;    0;    0;    0;    0;    4;    1;    0;    1;    0;    1;    3;    1;    0;    0;    0;    0;    0;    3;    0;    2;    1;    0;    0;    1;    0;    0;    0;    0;    0;    1;    0;    0;    0;    0;    0;    1;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    1;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0
     0,01792    5;    5;    0;    2;    0;    0;    7;    6; 2226;   28;   12;   17;    9;   14;   70;    9;    2;    4;    4;    9;  216;  100;   18;   25;    9;   10;   13;   15;   10;   16;   19;   29;   93;    0;    0;    0;    1;    7;    2;    0;    2;    1;    1;    6;   55;    6;    2;    2;    3;    1;    2;    0;    0;    0;    0;    0;   34;    0;    0;    0;    0;    0;    2;    0;    0;    0;    0;    0;   15;    0;    0;    0;    0;    0;    0;    1;    1;    0;    0;    0;    3;    3;    0;    1;    1;    0;    0;    2;    1;    0;    0;    1;    3;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    2;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0
     0,02048    0;    0;    0;    2;    0;    1;   12;   62; 2334;   10;    4;    7;    3;   49;    1;    6;    3;    4;   13;    1;  351;    7;    3;    4;    0;    6;    0;    0;    0;    0;    3;   49;   53;   13;    3;    6;    4;   22;    2;    1;    0;    1;    2;   17;   27;    1;    1;    1;    0;    1;    8;    0;    0;    0;    0;    0;   20;    2;    0;    0;    0;    2;    8;    0;    1;    0;    0;    0;   10;    0;    0;    0;    0;    0;    7;    0;    1;    0;    0;    0;    3;    0;    0;    0;    0;    0;    4;    1;    0;    0;    0;    0;    0;    1;    0;    0;    0;    0;    1;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0
     0,02304    1;    1;    0;    1;    0;    2;   10;   26; 2452;    9;    5;    3;    2;   44;    3;    3;    4;    5;   10;   58;  278;    3;    2;    1;    0;    9;    0;    0;    0;    1;    4;    1;   92;    8;    3;    2;    2;   20;    6;    0;    0;    0;    1;   14;   24;    6;    1;    1;    0;    9;   10;    0;    0;    0;    0;    2;   15;    3;    0;    0;    0;    3;   15;    0;    0;    0;    0;    0;    5;    1;    0;    0;    0;    0;    9;    0;    0;    0;    0;    0;    1;    0;    0;    0;    0;    0;    8;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    4;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    2;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0
